ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,rule_count,model_id,model_name
"0,1,2,3",4,0.0,0.04097951024487756,True,decreasing,Evidence for decreasing False Tool Count with higher example count (p=0.041).,example_count,example count,false_tool_count,False Tool Count,1,13,-2,llama 3.1 (8 B)
"0,1,2,3",4,4.5,1.0,False,decreasing,No significant monotonic decreasing trend detected (p=1).,example_count,example count,false_tool_count,False Tool Count,1,13,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.2353823088455772,False,decreasing,No significant monotonic decreasing trend detected (p=0.235).,example_count,example count,false_tool_count,False Tool Count,2,1,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.2478760619690155,False,decreasing,No significant monotonic decreasing trend detected (p=0.248).,example_count,example count,false_tool_count,False Tool Count,2,2,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.2593703148425787,False,decreasing,No significant monotonic decreasing trend detected (p=0.259).,example_count,example count,false_tool_count,False Tool Count,2,3,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.255872063968016,False,decreasing,No significant monotonic decreasing trend detected (p=0.256).,example_count,example count,false_tool_count,False Tool Count,2,4,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.23738130934532733,False,decreasing,No significant monotonic decreasing trend detected (p=0.237).,example_count,example count,false_tool_count,False Tool Count,2,5,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.23788105947026486,False,decreasing,No significant monotonic decreasing trend detected (p=0.238).,example_count,example count,false_tool_count,False Tool Count,2,5,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.23938030984507747,False,decreasing,No significant monotonic decreasing trend detected (p=0.239).,example_count,example count,false_tool_count,False Tool Count,2,6,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.271864067966017,False,decreasing,No significant monotonic decreasing trend detected (p=0.272).,example_count,example count,false_tool_count,False Tool Count,2,7,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.25087456271864067,False,decreasing,No significant monotonic decreasing trend detected (p=0.251).,example_count,example count,false_tool_count,False Tool Count,2,7,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.23488255872063968,False,decreasing,No significant monotonic decreasing trend detected (p=0.235).,example_count,example count,false_tool_count,False Tool Count,2,8,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.25087456271864067,False,decreasing,No significant monotonic decreasing trend detected (p=0.251).,example_count,example count,false_tool_count,False Tool Count,2,9,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.2543728135932034,False,decreasing,No significant monotonic decreasing trend detected (p=0.254).,example_count,example count,false_tool_count,False Tool Count,2,10,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.25087456271864067,False,decreasing,No significant monotonic decreasing trend detected (p=0.251).,example_count,example count,false_tool_count,False Tool Count,2,11,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.25787106446776614,False,decreasing,No significant monotonic decreasing trend detected (p=0.258).,example_count,example count,false_tool_count,False Tool Count,2,12,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.25237381309345325,False,decreasing,No significant monotonic decreasing trend detected (p=0.252).,example_count,example count,false_tool_count,False Tool Count,2,13,-2,llama 3.1 (8 B)
