ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,rule_count,model_id,model_name
"0,1,2,3",4,1.0,0.1664167916041979,False,increasing,No significant monotonic increasing trend detected (p=0.166).,example_count,example count,correct_output_format,Correct Output Format,1,12,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.2608695652173913,False,increasing,No significant monotonic increasing trend detected (p=0.261).,example_count,example count,correct_output_format,Correct Output Format,1,12,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,2.5,0.49525237381309345,False,increasing,No significant monotonic increasing trend detected (p=0.495).,example_count,example count,correct_output_format,Correct Output Format,1,12,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.24187906046976512,False,increasing,No significant monotonic increasing trend detected (p=0.242).,example_count,example count,correct_output_format,Correct Output Format,1,13,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.2478760619690155,False,increasing,No significant monotonic increasing trend detected (p=0.248).,example_count,example count,correct_output_format,Correct Output Format,2,1,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.24987506246876562,False,increasing,No significant monotonic increasing trend detected (p=0.25).,example_count,example count,correct_output_format,Correct Output Format,2,1,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.23888055972013994,False,increasing,No significant monotonic increasing trend detected (p=0.239).,example_count,example count,correct_output_format,Correct Output Format,2,2,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.0,0.175912043978011,False,increasing,No significant monotonic increasing trend detected (p=0.176).,example_count,example count,correct_output_format,Correct Output Format,2,2,-4,gpt-oss (20.9 B)
"0,1,2,3",4,3.5,0.7446276861569215,False,increasing,No significant monotonic increasing trend detected (p=0.745).,example_count,example count,correct_output_format,Correct Output Format,2,3,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.0,0.17341329335332334,False,increasing,No significant monotonic increasing trend detected (p=0.173).,example_count,example count,correct_output_format,Correct Output Format,2,3,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.25987006496751625,False,increasing,No significant monotonic increasing trend detected (p=0.26).,example_count,example count,correct_output_format,Correct Output Format,2,4,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.25487256371814093,False,increasing,No significant monotonic increasing trend detected (p=0.255).,example_count,example count,correct_output_format,Correct Output Format,2,5,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.26186906546726635,False,increasing,No significant monotonic increasing trend detected (p=0.262).,example_count,example count,correct_output_format,Correct Output Format,2,6,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.14792603698150925,False,increasing,No significant monotonic increasing trend detected (p=0.148).,example_count,example count,correct_output_format,Correct Output Format,2,7,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.17191404297851073,False,increasing,No significant monotonic increasing trend detected (p=0.172).,example_count,example count,correct_output_format,Correct Output Format,2,8,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.17091454272863568,False,increasing,No significant monotonic increasing trend detected (p=0.171).,example_count,example count,correct_output_format,Correct Output Format,2,9,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.24987506246876562,False,increasing,No significant monotonic increasing trend detected (p=0.25).,example_count,example count,correct_output_format,Correct Output Format,2,10,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.2493753123438281,False,increasing,No significant monotonic increasing trend detected (p=0.249).,example_count,example count,correct_output_format,Correct Output Format,2,10,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.24537731134432783,False,increasing,No significant monotonic increasing trend detected (p=0.245).,example_count,example count,correct_output_format,Correct Output Format,2,11,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,2.0,0.32283858070964516,False,increasing,No significant monotonic increasing trend detected (p=0.323).,example_count,example count,correct_output_format,Correct Output Format,2,11,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.2353823088455772,False,increasing,No significant monotonic increasing trend detected (p=0.235).,example_count,example count,correct_output_format,Correct Output Format,2,12,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.2478760619690155,False,increasing,No significant monotonic increasing trend detected (p=0.248).,example_count,example count,correct_output_format,Correct Output Format,2,12,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.2593703148425787,False,increasing,No significant monotonic increasing trend detected (p=0.259).,example_count,example count,correct_output_format,Correct Output Format,2,13,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.5,0.255872063968016,False,increasing,No significant monotonic increasing trend detected (p=0.256).,example_count,example count,correct_output_format,Correct Output Format,2,13,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,2.5,0.5257371314342829,False,increasing,No significant monotonic increasing trend detected (p=0.526).,example_count,example count,correct_output_format,Correct Output Format,2,13,-4,gpt-oss (20.9 B)
